gender,category,name,country,instagram
men,-66 kg,Fabricio Andrey,Brazil,https://www.instagram.com/fabricioandreyjj/
women,-55 kg,Adele Fornarino,Australia,https://instagram.com/adelefornarino
men,-66 kg,Nikodem Mikuliszyn,Poland,https://www.instagram.com/nikoeatsworld/
men,-66 kg,Dorian Olivarez,USA,https://www.instagram.com/teamolivarez/
men,-66 kg,Ryoma Anraku,Japan,https://www.instagram.com/ryomanraku6_6/
men,-66 kg,Yigit Hanay,Turkey,https://www.instagram.com/yigit_hanay/
men,-66 kg,David Mateus Santos,Brazil,https://www.instagram.com/davidmateusbjj/
men,-66 kg,Kauã Gabriel,Brazil,https://www.instagram.com/kauagabrielbjj1/
men,-77 kg,Mateusz Gamrot,Poland,https://www.instagram.com/mateusz_gamrot/
men,-77 kg,Mateusz Szczeciński,Poland,https://www.instagram.com/mateusz_szczecinski/
men,-77 kg,Jacob Bornemann,USA,https://www.instagram.com/littlejacob01/
men,-77 kg,Nikolay Vetrov,Russia,https://www.instagram.com/vetrovnikkolay/
men,-77 kg,Julio Cesar Suzigan Martins,Brazil,https://www.instagram.com/julinhomartins_bjj/
men,-77 kg,Alexandre De Jesus,Brazil,https://www.instagram.com/robinho_aj/
men,-77 kg,Magomed Dzharbaev,Russia,https://www.instagram.com/kauagabrielbjj1/
